iter	Passed	Remaining
723	9531	3633
724	9546	3620
725	9561	3608
726	9576	3596
727	9590	3583
728	9605	3570
729	9620	3558
730	9634	3545
731	9650	3533
732	9665	3520
733	9678	3507
734	9693	3494
735	9708	3482
736	9723	3469
737	9738	3457
738	9752	3444
739	9765	3431
740	9778	3417
741	9790	3404
742	9803	3390
743	9817	3378
744	9829	3364
745	9843	3351
746	9855	3338
747	9869	3324
748	9882	3311
749	9896	3298
750	9909	3285
751	9922	3272
752	9935	3259
753	9949	3246
754	9961	3232
755	9974	3219
756	9986	3205
757	10000	3192
758	10014	3179
759	10028	3166
760	10041	3153
761	10053	3140
762	10066	3126
763	10079	3113
764	10092	3100
765	10106	3087
766	10118	3073
767	10131	3060
768	10143	3047
769	10156	3033
770	10170	3020
771	10183	3007
772	10196	2994
773	10210	2981
774	10223	2968
775	10236	2954
776	10249	2941
777	10262	2928
778	10275	2915
779	10288	2901
780	10301	2888
781	10314	2875
782	10327	2862
783	10340	2849
784	10353	2835
785	10366	2822
786	10379	2809
787	10394	2796
788	10408	2783
789	10421	2770
790	10434	2756
791	10448	2744
792	10461	2730
793	10473	2717
794	10486	2704
795	10499	2690
796	10512	2677
797	10526	2664
798	10539	2651
799	10552	2638
800	10565	2624
801	10579	2611
802	10591	2598
803	10605	2585
804	10618	2572
805	10631	2559
806	10644	2545
807	10658	2532
808	10670	2519
809	10685	2506
810	10699	2493
811	10713	2480
812	10726	2467
813	10740	2454
814	10753	2441
815	10767	2427
816	10780	2414
817	10792	2401
818	10805	2388
819	10819	2374
820	10831	2361
821	10845	2348
822	10857	2335
823	10870	2321
824	10883	2308
825	10896	2295
826	10910	2282
827	10924	2269
828	10938	2256
829	10950	2242
830	10963	2229
831	10975	2216
832	10989	2203
833	11002	2189
834	11016	2176
835	11028	2163
836	11041	2150
837	11054	2137
838	11067	2123
839	11080	2110
840	11093	2097
841	11106	2084
842	11119	2070
843	11132	2057
844	11146	2044
845	11158	2031
846	11170	2017
847	11184	2004
848	11197	1991
849	11210	1978
850	11222	1965
851	11236	1951
852	11248	1938
853	11261	1925
854	11275	1912
855	11287	1898
856	11300	1885
857	11314	1872
858	11327	1859
859	11341	1846
860	11353	1832
861	11367	1819
862	11379	1806
863	11393	1793
864	11405	1780
865	11418	1766
866	11431	1753
867	11444	1740
868	11457	1727
869	11469	1713
870	11482	1700
871	11495	1687
872	11509	1674
873	11522	1661
874	11536	1648
875	11549	1634
876	11562	1621
877	11575	1608
878	11588	1595
879	11600	1581
880	11613	1568
881	11627	1555
882	11641	1542
883	11653	1529
884	11666	1515
885	11679	1502
886	11692	1489
887	11705	1476
888	11718	1463
889	11731	1449
890	11743	1436
891	11757	1423
892	11770	1410
893	11783	1397
894	11796	1383
895	11808	1370
896	11821	1357
897	11834	1344
898	11847	1331
899	11860	1317
900	11872	1304
901	11885	1291
902	11899	1278
903	11912	1265
904	11925	1251
905	11939	1238
906	11951	1225
907	11964	1212
908	11977	1199
909	11990	1185
910	12003	1172
911	12016	1159
912	12030	1146
913	12043	1133
914	12056	1119
915	12069	1106
916	12083	1093
917	12095	1080
918	12109	1067
919	12122	1054
920	12135	1040
921	12148	1027
922	12161	1014
923	12174	1001
924	12186	988
925	12200	974
926	12213	961
927	12227	948
928	12239	935
929	12253	922
930	12266	909
931	12279	895
932	12292	882
933	12305	869
934	12318	856
935	12331	843
936	12345	830
937	12357	816
938	12370	803
939	12383	790
940	12396	777
941	12409	764
942	12422	750
943	12436	737
944	12448	724
945	12461	711
946	12474	698
947	12487	684
948	12500	671
949	12513	658
950	12526	645
951	12539	632
952	12552	619
953	12566	605
954	12579	592
955	12592	579
956	12605	566
957	12617	553
958	12631	540
959	12644	526
960	12658	513
961	12670	500
962	12685	487
963	12698	474
964	12711	461
965	12724	447
966	12737	434
967	12749	421
968	12762	408
969	12776	395
970	12789	381
971	12802	368
972	12815	355
973	12829	342
974	12841	329
975	12854	316
976	12868	302
977	12882	289
978	12895	276
979	12909	263
980	12922	250
981	12936	237
982	12949	223
983	12963	210
984	12976	197
985	12989	184
986	13002	171
987	13015	158
988	13028	144
989	13042	131
990	13055	118
991	13068	105
992	13081	92
993	13094	79
994	13108	65
995	13121	52
996	13135	39
997	13148	26
998	13163	13
999	13175	0
