iter	Passed	Remaining
630	1157	676
631	1159	675
632	1161	673
633	1163	671
634	1165	669
635	1167	667
636	1168	666
637	1170	664
638	1172	662
639	1174	660
640	1176	658
641	1178	656
642	1179	655
643	1181	653
644	1183	651
645	1185	649
646	1187	647
647	1189	645
648	1191	644
649	1193	642
650	1194	640
651	1197	638
652	1199	637
653	1201	635
654	1204	634
655	1206	632
656	1209	631
657	1211	629
658	1213	628
659	1215	626
660	1217	624
661	1219	622
662	1221	620
663	1223	619
664	1225	617
665	1227	615
666	1228	613
667	1230	611
668	1232	609
669	1234	608
670	1236	606
671	1238	604
672	1240	602
673	1242	601
674	1244	599
675	1246	597
676	1248	595
677	1249	593
678	1251	591
679	1253	589
680	1255	588
681	1257	586
682	1259	584
683	1261	582
684	1262	580
685	1264	578
686	1266	576
687	1267	575
688	1270	573
689	1271	571
690	1273	569
691	1275	567
692	1277	565
693	1278	563
694	1280	561
695	1281	559
696	1283	558
697	1285	556
698	1287	554
699	1289	552
700	1291	550
701	1293	548
702	1294	546
703	1296	544
704	1297	543
705	1299	541
706	1301	539
707	1303	537
708	1305	535
709	1307	533
710	1309	532
711	1310	530
712	1312	528
713	1313	526
714	1315	524
715	1317	522
716	1319	520
717	1321	519
718	1323	517
719	1324	515
720	1326	513
721	1327	511
722	1329	509
723	1331	507
724	1333	505
725	1335	503
726	1337	502
727	1338	500
728	1340	498
729	1342	496
730	1343	494
731	1345	492
732	1347	490
733	1349	489
734	1351	487
735	1353	485
736	1354	483
737	1356	481
738	1357	479
739	1359	477
740	1361	475
741	1363	473
742	1364	472
743	1366	470
744	1368	468
745	1370	466
746	1371	464
747	1373	462
748	1374	460
749	1376	458
750	1378	456
751	1379	455
752	1381	453
753	1383	451
754	1385	449
755	1386	447
756	1388	445
757	1390	443
758	1391	441
759	1393	439
760	1394	438
761	1396	436
762	1398	434
763	1400	432
764	1402	430
765	1403	428
766	1405	426
767	1407	425
768	1408	423
769	1410	421
770	1412	419
771	1414	417
772	1415	415
773	1417	413
774	1419	412
775	1421	410
776	1422	408
777	1424	406
778	1426	404
779	1428	402
780	1430	401
781	1432	399
782	1434	397
783	1435	395
784	1437	393
785	1438	391
786	1440	389
787	1442	388
788	1444	386
789	1446	384
790	1447	382
791	1449	380
792	1451	378
793	1453	377
794	1454	375
795	1456	373
796	1458	371
797	1460	369
798	1462	367
799	1464	366
800	1465	364
801	1467	362
802	1469	360
803	1471	358
804	1473	356
805	1475	355
806	1477	353
807	1479	351
808	1481	349
809	1482	347
810	1484	346
811	1486	344
812	1488	342
813	1490	340
814	1492	338
815	1494	337
816	1496	335
817	1498	333
818	1500	331
819	1502	329
820	1504	327
821	1505	326
822	1507	324
823	1509	322
824	1511	320
825	1513	318
826	1515	316
827	1516	315
828	1518	313
829	1520	311
830	1521	309
831	1523	307
832	1525	305
833	1527	303
834	1528	302
835	1530	300
836	1532	298
837	1534	296
838	1536	294
839	1538	293
840	1540	291
841	1542	289
842	1544	287
843	1545	285
844	1547	283
845	1549	282
846	1551	280
847	1553	278
848	1555	276
849	1556	274
850	1558	272
851	1560	271
852	1562	269
853	1563	267
854	1565	265
855	1567	263
856	1569	261
857	1570	259
858	1572	258
859	1574	256
860	1576	254
861	1577	252
862	1579	250
863	1581	248
864	1583	247
865	1584	245
866	1586	243
867	1588	241
868	1590	239
869	1591	237
870	1593	235
871	1595	234
872	1597	232
873	1598	230
874	1600	228
875	1602	226
876	1603	224
877	1605	223
878	1607	221
879	1609	219
880	1611	217
881	1613	215
882	1615	214
883	1616	212
884	1618	210
885	1620	208
886	1622	206
887	1624	204
888	1625	202
889	1627	201
890	1628	199
891	1630	197
892	1632	195
893	1633	193
894	1635	191
895	1637	190
896	1639	188
897	1640	186
898	1642	184
899	1643	182
900	1645	180
901	1647	178
902	1648	177
903	1650	175
904	1651	173
905	1653	171
906	1655	169
907	1656	167
908	1658	166
909	1659	164
910	1661	162
911	1663	160
912	1664	158
913	1666	156
914	1668	154
915	1669	153
916	1671	151
917	1672	149
918	1674	147
919	1676	145
920	1677	143
921	1679	142
922	1680	140
923	1682	138
924	1684	136
925	1685	134
926	1687	132
927	1688	131
928	1690	129
929	1692	127
930	1693	125
